Timestamp ,MIS Demand (MWh),Temperature (C),Humidity
2013-01-01 00:00:00,1462.585926,16.9,58
2013-01-01 01:00:00,1379.900165,16.0,62
2013-01-01 02:00:00,1332.413556,15.3,65
2013-01-01 03:00:00,1311.593536,15.1,66
2013-01-01 04:00:00,1315.759578,15.1,65
2013-01-01 05:00:00,1369.735284,15.3,64
2013-01-01 06:00:00,1610.499818,16.0,62
2013-01-01 07:00:00,1595.594393,16.7,59
2013-01-01 08:00:00,1624.078424,16.6,61
2013-01-01 09:00:00,1649.597567,18.9,56
2013-01-01 10:00:00,1706.398174,20.5,54
2013-01-01 11:00:00,1732.228987,21.4,51
2013-01-01 12:00:00,1689.722291,22.1,49
2013-01-01 13:00:00,1658.775783,22.5,47
2013-01-01 14:00:00,1618.098454,22.7,46
2013-01-01 15:00:00,1525.119382,22.5,46
2013-01-01 16:00:00,1715.819827,22.1,47
2013-01-01 17:00:00,1764.746252,21.5,49
2013-01-01 18:00:00,2093.591726,20.9,50
2013-01-01 19:00:00,1871.107941,20.6,51
2013-01-01 20:00:00,1830.279374,20.2,53
2013-01-01 21:00:00,1798.663383,20.0,53
2013-01-01 22:00:00,1652.047343,19.6,55
2013-01-01 23:00:00,1556.775119,17.9,62
2013-01-02 00:00:00,1492.22461,17.3,65
2013-01-02 01:00:00,1346.882926,16.7,68
2013-01-02 02:00:00,1286.241305,16.1,70
2013-01-02 03:00:00,1352.393714,15.3,73
2013-01-02 04:00:00,1328.529078,14.5,75
2013-01-02 05:00:00,1268.287652,13.9,76
2013-01-02 06:00:00,1587.45816,13.6,76
2013-01-02 07:00:00,1526.235942,13.4,75
2013-01-02 08:00:00,1654.241207,14.1,73
2013-01-02 09:00:00,1705.348569,18.5,54
2013-01-02 10:00:00,1789.958416,20.9,45
2013-01-02 11:00:00,1687.351456,21.8,43
2013-01-02 12:00:00,1683.277547,22.7,39
2013-01-02 13:00:00,1774.484194,23.3,37
2013-01-02 14:00:00,1595.679126,23.6,37
2013-01-02 15:00:00,1566.2407,23.5,40
2013-01-02 16:00:00,1660.125073,23.2,42
2013-01-02 17:00:00,1689.335418,22.4,47
2013-01-02 18:00:00,2103.629954,21.7,51
2013-01-02 19:00:00,1920.813461,21.3,53
2013-01-02 20:00:00,1941.613965,20.2,58
2013-01-02 21:00:00,1759.221728,19.6,60
2013-01-02 22:00:00,1753.713506,18.7,63
2013-01-02 23:00:00,1605.513873,18.8,62
2013-01-03 00:00:00,1403.264987,18.6,63
2013-01-03 01:00:00,1336.282167,18.3,64
2013-01-03 02:00:00,1296.987614,18.3,63
2013-01-03 03:00:00,1362.531949,18.3,61
2013-01-03 04:00:00,1334.238911,18.4,60
2013-01-03 05:00:00,1351.167319,18.6,57
2013-01-03 06:00:00,1431.303111,18.7,55
2013-01-03 07:00:00,1479.993554,18.7,54
2013-01-03 08:00:00,1470.663236,18.1,55
2013-01-03 09:00:00,1594.263323,19.8,53
2013-01-03 10:00:00,1769.427595,21.9,47
2013-01-03 11:00:00,1778.792227,22.7,42
2013-01-03 12:00:00,1680.024118,23.4,41
2013-01-03 13:00:00,1741.759976,23.7,41
2013-01-03 14:00:00,1614.668499,23.8,41
2013-01-03 15:00:00,1557.103262,23.7,43
2013-01-03 16:00:00,1681.50364,23.3,46
2013-01-03 17:00:00,1717.348698,22.7,49
2013-01-03 18:00:00,2062.075846,22.0,53
2013-01-03 19:00:00,1953.230086,21.6,55
2013-01-03 20:00:00,1788.735112,20.6,61
2013-01-03 21:00:00,1808.448777,20.4,61
2013-01-03 22:00:00,1667.748534,19.5,64
2013-01-03 23:00:00,1598.944033,18.3,69
2013-01-04 00:00:00,1483.638772,17.5,72
2013-01-04 01:00:00,1418.50007,16.9,73
2013-01-04 02:00:00,1362.930073,16.4,74
2013-01-04 03:00:00,1284.958317,16.1,74
2013-01-04 04:00:00,1273.988121,16.0,72
2013-01-04 05:00:00,1356.64804,16.0,71
2013-01-04 06:00:00,1372.464022,15.9,70
2013-01-04 07:00:00,1372.718386,15.7,70
2013-01-04 08:00:00,1549.344271,16.3,68
2013-01-04 09:00:00,1575.921397,20.2,53
2013-01-04 10:00:00,1672.78071,22.0,48
2013-01-04 11:00:00,1660.279892,22.7,47
2013-01-04 12:00:00,1748.357482,23.4,46
2013-01-04 13:00:00,1535.665348,23.8,45
2013-01-04 14:00:00,1459.130224,23.8,46
2013-01-04 15:00:00,1536.353352,23.7,48
2013-01-04 16:00:00,1533.572926,23.3,50
2013-01-04 17:00:00,1742.362112,22.7,53
2013-01-04 18:00:00,1919.821506,22.1,57
2013-01-04 19:00:00,1820.427494,21.7,59
2013-01-04 20:00:00,1804.882377,21.3,61
2013-01-04 21:00:00,1744.416054,19.9,66
2013-01-04 22:00:00,1689.119015,19.2,66
2013-01-04 23:00:00,1685.230842,20.0,63
2013-01-05 00:00:00,1514.820437,20.5,60
2013-01-05 01:00:00,1325.945609,20.3,60
2013-01-05 02:00:00,1367.405621,20.0,60
2013-01-05 03:00:00,1343.49695,19.8,60
2013-01-05 04:00:00,1325.811004,19.5,60
2013-01-05 05:00:00,1374.098291,19.2,61
2013-01-05 06:00:00,1577.891372,19.0,62
2013-01-05 07:00:00,1514.094723,18.0,65
2013-01-05 08:00:00,1580.289908,17.4,69
2013-01-05 09:00:00,1703.640165,20.7,54
2013-01-05 10:00:00,1764.320971,22.7,45
2013-01-05 11:00:00,1798.567971,23.5,42
2013-01-05 12:00:00,1802.88343,24.1,41
2013-01-05 13:00:00,1809.98576,24.4,41
2013-01-05 14:00:00,1680.040493,24.5,42
2013-01-05 15:00:00,1673.159201,24.2,45
2013-01-05 16:00:00,1748.827412,23.7,50
2013-01-05 17:00:00,1801.24316,23.0,55
2013-01-05 18:00:00,2138.600523,22.5,59
2013-01-05 19:00:00,2017.177934,22.1,61
2013-01-05 20:00:00,1977.390756,21.6,64
2013-01-05 21:00:00,1879.657234,20.5,67
2013-01-05 22:00:00,1771.830637,19.5,69
2013-01-05 23:00:00,1672.908849,19.9,63
2013-01-06 00:00:00,1547.936233,19.9,61
2013-01-06 01:00:00,1467.94103,19.2,62
2013-01-06 02:00:00,1395.247175,18.2,65
2013-01-06 03:00:00,1389.856711,17.4,68
2013-01-06 04:00:00,1405.015847,16.7,71
2013-01-06 05:00:00,1421.864959,15.9,75
2013-01-06 06:00:00,1637.183797,16.0,76
2013-01-06 07:00:00,1631.351248,15.8,78
2013-01-06 08:00:00,1721.259197,17.0,75
2013-01-06 09:00:00,1785.473506,21.3,61
2013-01-06 10:00:00,1835.693147,23.2,53
2013-01-06 11:00:00,1826.685906,24.7,39
2013-01-06 12:00:00,1806.991583,25.4,33
2013-01-06 13:00:00,1822.344868,26.0,30
2013-01-06 14:00:00,1714.054501,26.2,31
2013-01-06 15:00:00,1649.713783,26.0,34
2013-01-06 16:00:00,1758.448413,25.4,38
2013-01-06 17:00:00,1813.30161,24.5,44
2013-01-06 18:00:00,2145.562812,23.7,49
2013-01-06 19:00:00,2027.996717,23.1,53
2013-01-06 20:00:00,1966.972286,22.4,56
2013-01-06 21:00:00,1858.707373,21.3,60
2013-01-06 22:00:00,1800.746652,20.2,64
2013-01-06 23:00:00,1678.731641,19.1,64
2013-01-07 00:00:00,1549.397633,18.4,66
2013-01-07 01:00:00,1436.256619,18.1,67
2013-01-07 02:00:00,1430.431957,17.6,68
2013-01-07 03:00:00,1388.329652,16.9,71
2013-01-07 04:00:00,1362.839905,16.6,73
2013-01-07 05:00:00,1432.7239,16.3,75
2013-01-07 06:00:00,1614.812854,16.3,75
2013-01-07 07:00:00,1626.985647,16.3,75
2013-01-07 08:00:00,1695.66657,17.7,71
2013-01-07 09:00:00,1757.787288,21.7,58
2013-01-07 10:00:00,1811.374133,24.2,49
2013-01-07 11:00:00,1813.544928,25.6,42
2013-01-07 12:00:00,1841.129089,26.7,37
2013-01-07 13:00:00,1841.999506,27.4,36
2013-01-07 14:00:00,1743.261217,27.7,37
2013-01-07 15:00:00,1610.030368,27.6,39
2013-01-07 16:00:00,1676.068188,27.1,42
2013-01-07 17:00:00,1740.678447,26.2,47
2013-01-07 18:00:00,2170.768569,25.3,52
2013-01-07 19:00:00,2043.223331,24.7,56
2013-01-07 20:00:00,1996.723954,24.2,58
2013-01-07 21:00:00,1791.616762,23.7,60
2013-01-07 22:00:00,1824.360813,23.1,62
2013-01-07 23:00:00,1607.42787,22.6,61
2013-01-08 00:00:00,1614.865288,21.8,61
2013-01-08 01:00:00,1407.773541,21.1,61
2013-01-08 02:00:00,1465.3703,20.5,61
2013-01-08 03:00:00,1439.914446,19.8,63
2013-01-08 04:00:00,1405.618465,19.2,65
2013-01-08 05:00:00,1464.015338,18.8,66
2013-01-08 06:00:00,1625.656493,18.5,67
2013-01-08 07:00:00,1711.812124,18.3,68
2013-01-08 08:00:00,1701.587654,19.4,64
2013-01-08 09:00:00,1636.550244,22.6,53
2013-01-08 10:00:00,1817.240335,24.9,44
2013-01-08 11:00:00,1745.354112,26.1,39
2013-01-08 12:00:00,1847.420846,26.8,38
2013-01-08 13:00:00,1839.606987,27.2,39
2013-01-08 14:00:00,1769.902394,27.2,42
2013-01-08 15:00:00,1726.775669,26.8,46
2013-01-08 16:00:00,1784.107167,26.0,52
2013-01-08 17:00:00,1846.695262,25.2,57
2013-01-08 18:00:00,2163.041009,24.4,61
2013-01-08 19:00:00,2053.764858,24.0,65
2013-01-08 20:00:00,2016.167184,23.6,67
2013-01-08 21:00:00,1938.341348,22.9,72
2013-01-08 22:00:00,1870.228652,22.1,75
2013-01-08 23:00:00,1782.727061,22.1,74
2013-01-09 00:00:00,1639.637042,22.2,72
2013-01-09 01:00:00,1526.728991,21.8,71
2013-01-09 02:00:00,1487.156526,21.4,70
2013-01-09 03:00:00,1471.304454,20.9,69
2013-01-09 04:00:00,1453.080687,20.5,69
2013-01-09 05:00:00,1449.321826,19.8,72
2013-01-09 06:00:00,1705.037678,18.9,76
2013-01-09 07:00:00,1689.034307,18.0,80
2013-01-09 08:00:00,1662.321412,18.8,76
2013-01-09 09:00:00,1763.058448,23.0,57
2013-01-09 10:00:00,1825.704113,25.0,49
2013-01-09 11:00:00,1772.084219,25.8,48
2013-01-09 12:00:00,1826.322885,26.4,48
2013-01-09 13:00:00,1846.558856,26.8,50
2013-01-09 14:00:00,1752.915046,26.8,52
2013-01-09 15:00:00,1640.179178,26.5,55
2013-01-09 16:00:00,1802.977183,25.9,58
2013-01-09 17:00:00,1749.83434,25.1,63
2013-01-09 18:00:00,2137.689661,24.2,68
2013-01-09 19:00:00,2006.572378,23.7,72
2013-01-09 20:00:00,1987.405774,23.4,76
2013-01-09 21:00:00,1813.48624,23.0,79
2013-01-09 22:00:00,1854.464409,22.2,83
2013-01-09 23:00:00,1661.789279,21.5,87
2013-01-10 00:00:00,1646.555819,21.1,86
2013-01-10 01:00:00,1474.461183,20.6,83
2013-01-10 02:00:00,1496.39535,20.1,82
2013-01-10 03:00:00,1477.829185,19.7,80
2013-01-10 04:00:00,1455.345802,19.5,79
2013-01-10 05:00:00,1429.539412,19.3,78
2013-01-10 06:00:00,1569.396817,19.1,80
2013-01-10 07:00:00,1519.763391,18.8,82
2013-01-10 08:00:00,1531.941125,19.6,79
2013-01-10 09:00:00,1715.518081,22.3,65
2013-01-10 10:00:00,1775.50405,24.8,51
2013-01-10 11:00:00,1821.432598,26.4,43
2013-01-10 12:00:00,1828.737381,27.4,39
2013-01-10 13:00:00,1819.93571,27.9,39
2013-01-10 14:00:00,1694.425514,28.3,38
2013-01-10 15:00:00,1709.153777,28.2,40
2013-01-10 16:00:00,1773.398961,27.4,47
2013-01-10 17:00:00,1660.23902,26.3,56
2013-01-10 18:00:00,2079.705808,25.0,64
2013-01-10 19:00:00,1975.578404,24.3,71
2013-01-10 20:00:00,1848.046813,23.8,74
2013-01-10 21:00:00,1863.775012,23.7,75
2013-01-10 22:00:00,1806.858167,23.7,75
2013-01-10 23:00:00,1742.031537,23.3,79
2013-01-11 00:00:00,1665.08096,23.3,78
2013-01-11 01:00:00,1597.981961,23.1,76
2013-01-11 02:00:00,1399.235336,21.6,79
2013-01-11 03:00:00,1493.214326,20.6,80
2013-01-11 04:00:00,1480.743584,19.7,80
2013-01-11 05:00:00,1479.531488,19.1,82
2013-01-11 06:00:00,1538.29745,18.4,83
2013-01-11 07:00:00,1486.314588,18.2,84
2013-01-11 08:00:00,1478.700865,19.4,81
2013-01-11 09:00:00,1642.769038,22.9,66
2013-01-11 10:00:00,1752.237567,24.7,57
2013-01-11 11:00:00,1463.589126,26.1,50
2013-01-11 12:00:00,1512.361722,26.9,48
2013-01-11 13:00:00,1599.968045,27.1,51
2013-01-11 14:00:00,1578.462403,26.8,55
2013-01-11 15:00:00,1535.335577,25.9,61
2013-01-11 16:00:00,1641.436296,24.6,70
2013-01-11 17:00:00,1656.006894,23.8,73
2013-01-11 18:00:00,1988.995087,23.1,69
2013-01-11 19:00:00,1872.238293,22.7,61
2013-01-11 20:00:00,1746.74697,22.4,55
2013-01-11 21:00:00,1786.993607,22.1,51
2013-01-11 22:00:00,1670.478115,21.9,48
2013-01-11 23:00:00,1685.460182,21.6,48
2013-01-12 00:00:00,1566.027132,21.3,48
2013-01-12 01:00:00,1514.993951,20.9,49
2013-01-12 02:00:00,1355.829982,20.3,51
2013-01-12 03:00:00,1436.259456,19.7,54
2013-01-12 04:00:00,1406.644714,19.3,57
2013-01-12 05:00:00,1438.360275,19.0,60
2013-01-12 06:00:00,1667.85458,18.8,63
2013-01-12 07:00:00,1594.488875,18.6,64
2013-01-12 08:00:00,1675.995491,19.1,63
2013-01-12 09:00:00,1628.102435,20.0,59
2013-01-12 10:00:00,1737.126786,20.8,57
2013-01-12 11:00:00,1692.543398,21.7,57
2013-01-12 12:00:00,1685.31808,22.0,54
2013-01-12 13:00:00,1686.827125,22.0,52
